difficulty_rating, bpm, mode, approach_rate, overall_difficulty, circle_size, hp_drain_rate, total_length, hit_length, min_cursor_speed, max_cursor_speed, avg_cursor_speed, map_length_seconds, hitobject_types_per_second_0, 1, 2, 3, 4, 5, 6, 7, inherited_timing_points, uninherited_timing_points, bpm_changes, slider_multiplier_changes, min_slider_multiplier, max_slider_multiplier, avg_slider_multiplier, meter_changes, min_meter, max_meter, avg_meter
7.98, 250, 0, 9.8, 9.2, 4.2, 6, 263, 240, 0.0, 3289.039035611736, 733.3615204229349, 263.846, 0.0, 3.490672589313463, 1.224198964547501, 0.0, 0.0, 0.5192422852724695, 0.735277396663205, 0.0, 1.0953359156477642, 0.007580179347043351, 0.0, 0.12507295922621528, 0.5, 1.0, 0.9403114186851211, 0.0, 4, 4, 4.0
4.46, 153, 3, 5, 8, 4, 8.5, 235, 235, 0.0, 5907.692307692308, 1685.0130055098696, 235.802, 0.0, 11.83620155893504, 0.0, 0.0, 0.0, 0.00424084613362058, 0.0, 0.0, 0.12298453787499683, 0.00424084613362058, 0.0, 0.07633523040517044, 0.1999999999999988, 1.7999999999999985, 0.9775862068965516, 0.0, 4, 4, 4.0
4.37, 200, 1, 9.6, 6, 4, 6, 132, 132, 0.0, 3461.32922444543, 987.6912369917883, 132.434, 0.0, 4.077502756089826, 0.29448631016204296, 0.0, 0.0, 0.6191763444432699, 0.3850974825195947, 0.0, 0.13591675853632754, 0.007550931029795974, 0.0, 0.07550931029795974, 0.5, 1.0, 0.8611111111111112, 0.0, 4, 4, 4.0
7.17, 220, 0, 9.3, 9, 4.2, 6, 308, 290, 0.0, 3060.8378548532132, 1089.291001690092, 308.115, 0.0, 1.8629407850964737, 1.1878681661068107, 0.0, 0.0, 0.22394235918407088, 0.2823621050581763, 0.0, 0.1265761160605618, 0.08438407737370787, 0.06491082874900606, 0.07464745306135696, 0.5, 2.0, 1.0384615384615388, 0.006491082874900605, 3, 4, 3.9615384615384617
5.33, 140, 0, 9.5, 9, 3.7, 5, 357, 336, 0.0, 2523.8626191752032, 565.3553087461642, 354.96, 0.0, 1.1832319134550373, 1.0508226279017354, 0.0, 0.0, 0.34651791751183236, 0.5042821726391706, 0.0, 0.23101194500788821, 0.0028172188415596126, 0.0, 0.19157088122605365, 0.3000000000000003, 2.0, 1.0853658536585367, 0.0, 4, 4, 4.0
2.86, 153, 3, 5, 7.5, 4, 7.5, 235, 235, 0.0, 5907.692307692308, 1685.0130055098696, 235.802, 0.0, 11.83620155893504, 0.0, 0.0, 0.0, 0.00424084613362058, 0.0, 0.0, 0.12298453787499683, 0.00424084613362058, 0.0, 0.07633523040517044, 0.1999999999999988, 1.7999999999999985, 0.9775862068965516, 0.0, 4, 4, 4.0
2.11, 153, 3, 5, 7, 4, 7, 235, 235, 0.0, 5907.692307692308, 1685.0130055098696, 235.802, 0.0, 11.83620155893504, 0.0, 0.0, 0.0, 0.00424084613362058, 0.0, 0.0, 0.12298453787499683, 0.00424084613362058, 0.0, 0.07633523040517044, 0.1999999999999988, 1.7999999999999985, 0.9775862068965516, 0.0, 4, 4, 4.0
0.38, 300, 3, 9, 7, 4, 7, 600, 1, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.79, 160.73, 3, 9, 8, 4, 8, 81, 78, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.68, 161.02, 3, 9, 8, 4, 8, 117, 117, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.2, 162, 3, 9, 8, 4, 8, 227, 227, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.88, 160, 3, 9, 8, 4, 8, 98, 97, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
6.13, 162.03, 3, 9, 8, 4, 8, 138, 138, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
5.29, 162.03, 3, 9, 8, 4, 8, 138, 138, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.56, 159.02, 3, 9, 8, 4, 8, 99, 99, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.52, 150, 3, 9, 8, 4, 8, 181, 180, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.4, 155, 3, 9, 8, 4, 8, 127, 126, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.08, 160, 3, 9, 8, 4, 8, 85, 84, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.43, 138.01, 3, 9, 8, 4, 8, 84, 84, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.62, 172, 3, 9, 8, 4, 8, 192, 192, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
4.22, 172, 3, 9, 8, 4, 8, 192, 192, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
3.4, 112, 3, 9, 8, 4, 8, 92, 92, 0.0, 32000.0, 3563.004026704667, 114.796, 0.0, 18.32816474441618, 0.0, 0.0, 0.0, 0.008711104916547615, 0.0, 0.0, 0.01742220983309523, 0.01742220983309523, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4, 4, 4.0
